net,length_um
net965,1469.74
net952,1452.4
net985,1440.86
net49,1423.66
net818,1414.69
net123,1403.44
net499,1399
net766,1393.92
net934,1391.88
net380,1390.29
net807,1388.96
net619,1386.425
net862,1381.11
net210,1380.8
net404,1372.3
net727,1368.29
net996,1366.26
net779,1365.04
net215,1360.67
net910,1358.975
net9,1358.04
net21,1356.14
net439,1354.72
net759,1352.32
net547,1351.51
net833,1348.42
net494,1344.36
net353,1343.95
net142,1342.12
net561,1340.06
net384,1337.74
net939,1333.86
net606,1331.81
net810,1331.66
net445,1327.49
net882,1326.76
net625,1326.5
net470,1323.95
net43,1323.28
net913,1322.17
net498,1319.68
net467,1319.37
net311,1317.28
net1030,1313.96
net257,1313.115
net529,1312.35
net116,1311.58
net264,1307.37
net462,1304.94
net486,1301.83
net752,1299.6
net681,1298.43
net181,1291.115
net358,1290.96
net714,1290.8
net54,1290.3
net17,1288.5
net682,1287.51
net981,1285.6
net312,1284.56
net65,1284.17
net12,1284.16
net177,1283.64
net905,1283.04
net342,1281.84
net545,1281.7
net1031,1277.2
net624,1276.02
net385,1275.39
net861,1274.22
net715,1273.55
net660,1272.12
net750,1271.2
net154,1270.47
net199,1270.24
net394,1268.26
net174,1267.36
net575,1265.22
net720,1262.28
net603,1258.45
net310,1256.17
net835,1255.82
net859,1255.02
net397,1251.54
net41,1251.18
net82,1251.06
net473,1250.24
net431,1250.23
net322,1248.73
net876,1248.06
net435,1246.5
net858,1246.43
net354,1246.11
net753,1246
net906,1245.44
net596,1244.57
net638,1244.14
net938,1242.04
net658,1241.84
net222,1239.3
net849,1238.67
net811,1236.22
net151,1235.88
net693,1234.4
net338,1230.61
net612,1226.88
net555,1226.7
net414,1225.98
net167,1225.64
net924,1225.22
net642,1222.61
net816,1221.43
net970,1220.48
net225,1219.38
net374,1219.32
net171,1218.69
net546,1218.37
net461,1215.97
net761,1214.86
net103,1213.91
net497,1213.66
net362,1213.38
net834,1213.08
net730,1212.98
net378,1212.44
net962,1211.7
net1034,1209.895
net233,1209.78
net150,1209.535
net304,1209.22
net92,1208.44
net578,1207.6
net423,1207.01
net867,1206.93
net319,1206.51
net175,1206.18
net60,1205.7
net124,1205.58
net579,1205.23
net170,1204.9
net190,1203.68
net274,1202.54
net427,1202.34
net536,1199.61
net554,1199.22
net512,1198.58
net710,1198.3
net827,1198.06
net927,1198.02
net966,1197.54
net38,1197.22
net732,1197.06
net15,1196.98
net912,1196.12
net920,1195.5
net875,1195.18
net976,1194.61
net1013,1193.92
net323,1193.9
net465,1193.49
net1011,1191.2
net569,1190.88
net75,1190.775
net120,1189.4
net736,1186.38
net518,1186.09
net929,1185.73
net941,1184.9
net553,1183.52
net674,1182.76
net4,1182.17
net533,1182.01
net700,1181.89
net1008,1181.4
net24,1181.055
net428,1181.02
net723,1179.89
net539,1179.12
net88,1178.73
net303,1177.77
net629,1177.42
net911,1177.12
net72,1176.3
net286,1175.64
net576,1175.58
net513,1174.38
net1000,1174.32
net448,1173.99
net688,1173.3
net481,1172.37
net880,1170.66
net46,1170.56
net597,1169.22
net223,1168.84
net77,1168.32
net1023,1166.94
net173,1166.8
net135,1164.92
net1001,1164.38
net618,1162.95
net53,1162.22
net524,1160.85
net287,1159.6
net865,1159.51
net656,1159.14
net878,1159.06
net2,1158.66
net737,1158.02
net528,1157.02
net56,1156.44
net104,1154.95
net139,1154.2
net580,1153.48
net830,1152.53
net814,1151.42
net854,1151.08
net301,1149.48
net6,1149.42
net488,1149.04
net331,1148.73
net23,1148.32
net69,1146.06
net78,1145.84
net452,1145.83
net16,1145.32
net102,1145.04
net633,1144.74
net132,1144.68
net324,1144.66
net71,1144.52
net615,1144.22
net81,1143.96
net1017,1143.27
net864,1143.06
net29,1142.72
net703,1140.06
net663,1139.2
net126,1138.92
net214,1138.72
net402,1137.54
net767,1137.34
net279,1137.07
net66,1136.68
net368,1136.58
net99,1136.26
net699,1135.8
net517,1135.66
net1002,1135.1
net156,1134.34
net936,1133.58
net951,1132.94
net20,1132.86
net172,1131.8
net874,1131.68
net369,1131.34
net558,1129.09
net48,1128.86
net713,1128.48
net889,1127.82
net87,1127.43
net425,1126.88
net706,1126.58
net153,1126.48
net724,1126.12
net892,1126.04
net527,1124.55
net110,1124.31
net871,1123.58
net738,1123.02
net35,1122.84
net463,1122.33
net297,1122.3
net944,1122.21
net188,1121.03
net196,1119.775
net184,1119.7
net250,1119.08
net824,1118.4
net444,1117.06
net1015,1115.76
net419,1113.64
net891,1113.54
net522,1113.4
net469,1113.11
net933,1113.06
net11,1112.78
net26,1112.38
net125,1111.44
net796,1111.06
net898,1110.24
net745,1110.18
net478,1108.9
net388,1108.83
net236,1107.72
net687,1107.32
net63,1107.31
net850,1106.88
net671,1106.835
net381,1106.6
net476,1105.22
net846,1103.53
net195,1103.13
net451,1102.89
net245,1102.72
net115,1102.28
net551,1101.63
net755,1101.4
net326,1101.02
net782,1099.74
net37,1099.345
net393,1097.935
net734,1097.74
net520,1097.11
net902,1096.97
net793,1095.8
net716,1095.765
net809,1095.26
net221,1095.1
net146,1094.58
net466,1094.14
net855,1092.1
net316,1091.62
net568,1091.34
net670,1091.24
net472,1091.17
net109,1090.68
net200,1090.24
net39,1088.52
net998,1087.72
net725,1087.22
net14,1086.82
net803,1086.44
net459,1084.5
net343,1084.14
net1022,1083.3
net647,1082.9
net185,1081.81
net395,1081.4
net860,1080.305
net95,1079.84
net696,1079.3
net590,1076.24
net160,1076.2
net634,1075.74
net925,1075.61
net786,1075.36
net140,1074.73
net556,1074.48
net791,1074.4
net242,1073.64
net769,1073.39
net798,1073.02
net637,1072.56
net96,1072.07
net978,1071.48
net567,1070.99
net416,1069.62
net695,1069.18
net879,1068.79
net949,1067.36
net111,1066.84
net437,1065.83
net739,1065.6
net420,1065.5
net249,1065.03
net572,1064.58
net162,1064.44
net276,1062.68
net1012,1062.26
net990,1061.85
net987,1061.7
net977,1061.46
net485,1059.76
net525,1059.72
net655,1059.56
net843,1059.1
net792,1058.92
net953,1055.84
net133,1055.28
net740,1054.72
net379,1052.525
net33,1052.46
net839,1052.24
net630,1051.66
net922,1051.51
net52,1051.14
net217,1050.38
net842,1050.29
net239,1050
net868,1049.31
net337,1048.12
net328,1047.58
net73,1047.08
net907,1046.96
net502,1046.86
net220,1046.68
net386,1045.29
net542,1044.52
net678,1044.26
net372,1044.01
net42,1043.84
net127,1042.58
net202,1042.4
net519,1042.28
net440,1041.79
net928,1041.75
net708,1041.6
net717,1040.07
net589,1039.7
net262,1039.52
net812,1039.22
net758,1039.2
net5,1038.455
net676,1038.24
net390,1037.96
net808,1036.94
net890,1036.03
net259,1035.88
net947,1035.68
net392,1035.18
net383,1033.54
net36,1030.84
net122,1030.34
net743,1029.1
net325,1028.6
net768,1028.52
net581,1027.77
net904,1027.66
net234,1026.71
net760,1025.28
net113,1025.24
net490,1024.98
net984,1023.41
net235,1022.78
net336,1021.7
net273,1021
net107,1020.42
net538,1020.04
net574,1019.08
net166,1018.86
net822,1017.7
net540,1016.73
net101,1016.72
net430,1016.65
net582,1016.58
net690,1016.4
net213,1015.785
net89,1013.21
net805,1013.16
net780,1012.98
net145,1012.84
net491,1012.56
net479,1011.32
net254,1010.81
net1006,1010.79
net749,1009.88
net118,1009.68
net788,1009.2
net544,1009.12
net344,1007.22
net165,1006.58
net566,1004.76
net895,1003.815
net908,1001.37
net677,1000.845
net267,1000.23
net784,1000
net728,999.08
net705,998.7
net608,998.23
net992,998.18
net332,998.09
net94,998.01
net84,997.76
net919,997.52
net511,997.1
net746,997
net291,995.46
net248,995.1
net307,994.63
net1016,991.85
net484,991.72
net237,991.71
net30,991.68
net844,990.92
net285,990.11
net261,988.7
net772,987.84
net327,987.74
net460,985.66
net802,984.85
net163,984.36
net218,984
net917,982.86
net252,982.14
net70,982.01
net415,980.44
net954,980.14
net189,980
net399,979.8
net418,979.38
net797,979.05
net901,977.62
net290,977.32
net296,976.15
net238,976.04
net975,975.62
net641,975.51
net289,975.42
net347,974.54
net722,973.78
net193,973.05
net27,971.2
net74,970.8
net668,970.36
net604,969.06
net623,967.84
net997,967.1
net828,966.18
net1026,966.18
net453,966.08
net914,965.91
net897,964.46
net269,963.74
net366,962.67
net270,962.4
net639,959.12
net747,958.7
net192,958.16
net711,958.12
net138,957.92
net991,957.9
net783,957.76
net643,957.5
net757,957.4
net299,956.64
net144,956.32
net203,956.26
net673,954.92
net282,953.84
net183,953.06
net971,952.96
net401,951.68
net765,951.59
net67,951.21
net963,951.2
net364,950.97
net999,949.19
net650,948.12
net845,948.12
net44,947.04
net219,946.64
net916,946.465
net505,945.72
net636,945.64
net357,944.11
net563,943.24
net821,943.12
net309,943.02
net1014,942.06
net931,941.69
net664,939.83
net359,939.66
net514,939.38
net413,938.84
net675,937.76
net100,935.8
net669,935.36
net515,935.18
net557,935.18
net317,934.18
net825,933.88
net995,933.62
net918,933.56
net410,933
net229,932.76
net8,932.6
net51,932.56
net707,930.06
net781,929.84
net571,929.6
net972,928.28
net315,927.24
net958,925.18
net57,924.82
net549,923.14
net817,922.9
net884,922.74
net640,921.37
net93,921.28
net194,920.36
net300,920.12
net1021,920.12
net712,920.04
net180,919.64
net564,919.54
net776,919.46
net592,919.04
net3,918.32
net1003,917.28
net617,916.32
net535,914.99
net443,914.76
net979,913.59
net191,913.38
net241,913.08
net271,913.08
net25,913.06
net411,911.9
net216,911.295
net653,911.2
net886,910.95
net537,910.6
net50,910.54
net698,909.84
net489,906.5
net128,906.38
net856,906.26
net509,906.06
net943,904.95
net598,904.66
net158,904.16
net659,904
net293,903.8
net477,903.56
net573,903.32
net702,902.4
net382,901.9
net55,900.62
net212,900.44
net207,899.92
net1019,899.38
net602,899.31
net79,897.3
net1004,896
net988,895.87
net507,895.54
net683,894.3
net974,894.12
net853,892.6
net179,892.56
net657,891.56
net468,890.42
net866,888.47
net790,888.04
net595,887.87
net848,887.76
net523,886.2
net83,886.075
net355,884.51
net869,884.32
net108,882.16
net645,881.29
net801,880.89
net733,880.64
net926,879.68
net980,879.3
net275,879.14
net744,877.16
net667,876.5
net665,875.06
net644,874.66
net47,874.47
net960,873.91
net863,873.03
net756,872.82
net406,872.56
net22,872.16
net601,871.73
net616,869.98
net680,869.38
net68,869.3
net823,868.84
net58,866.9
net1009,866.015
net335,863.4
net959,863.21
net64,863.18
net447,862.99
net883,861.98
net946,861.18
net622,860.66
net272,857.98
net204,857.76
net321,856.24
net521,856.04
net774,855.56
net387,855.3
net532,855.22
net594,855.18
net620,853.08
net583,852.13
net1024,851.94
net131,851.67
net59,851.58
net211,850.22
net762,849.42
net881,848.91
net13,848.74
net348,848.66
net280,848.2
net281,847.12
net666,846.14
net742,846.08
net754,842.28
net119,842.16
net403,840.9
net831,840.02
net909,839.94
net956,839.64
net121,839.03
net516,838.15
net795,838.03
net495,836.98
net932,835.72
net775,834.68
net899,833.56
net777,833.46
net377,833.39
net155,831.82
net961,831.69
net526,831.16
net923,830.38
net247,830.02
net851,829.58
net227,829.32
net201,829.2
net341,828.16
net294,826.16
net329,825.94
net251,825.36
net186,824.84
net292,823.6
net396,823.26
net819,822.94
net480,822.52
net800,821.28
net263,819.84
net661,819.02
net363,818
net434,816.64
net770,815.36
net584,814.06
net632,813.835
net105,812.68
net318,812.28
net646,811.79
net763,811.57
net34,809.96
net968,809.49
net371,809.43
net373,809.38
net986,808.6
net940,808.12
net314,807.66
net1028,807.56
net148,806.64
net829,805.92
net475,805.68
net550,805.44
net610,804.93
net302,804.18
net134,804.16
net652,803.44
net208,801.86
net278,801.76
net360,800.12
net405,799.02
net487,798.98
net350,798.8
net421,798.72
net686,798.7
net1029,798.6
net719,798.19
net255,797.86
net840,797.08
net969,796.345
net872,795.2
net161,793.6
net409,792.51
net277,792.1
net873,791.66
net268,791.46
net506,791.22
net764,791.12
net376,790.74
net504,790.04
net283,789.52
net106,788.76
net832,788.54
net1,787.72
net361,787.23
net1020,785.19
net729,783.73
net32,781.74
net333,780.62
net614,779.7
net607,778.6
net560,778.155
net449,777.435
net340,776.3
net945,775.8
net885,774.16
net313,773.02
net648,773
net90,771.795
net76,771.72
net697,771.62
net244,771.34
net559,770.76
net593,770.7
net689,770.58
net994,770.36
net40,769.78
net458,769.24
net748,768.42
net704,767.04
net1010,766.68
net62,765.78
net482,764.98
net967,764.3
net813,763.92
net631,763.3
net389,761.74
net541,761.03
net474,759.46
net626,758.74
net531,753.92
net141,753.58
net112,753.52
net785,753.36
net330,753.14
net726,753.04
net806,752.17
net870,751.34
net441,750.86
net983,750.725
net375,750.68
net117,750.5
net412,747.34
net149,746.66
net609,745.64
net921,743.975
net349,743.6
net694,743.36
net288,742.62
net1005,742.35
net837,742.135
net28,741.64
net935,741.34
net91,740.38
net591,740.3
net85,740.2
net709,739.86
net367,739
net847,738.895
net232,738.68
net456,737.44
net721,736.48
net31,733.26
net438,733.16
net942,732.88
net320,732.66
net182,731.29
net820,731.2
net836,730.45
net334,729.72
net455,729.04
net534,727.26
net621,727
net530,726.94
net888,726.32
net169,725.715
net789,724.98
net896,724.22
net613,723.4
net955,723.38
net718,722.46
net178,720.775
net436,720.04
net577,719.95
net339,719.34
net605,719.17
net893,719.08
net503,718.86
net231,718.32
net351,718.1
net510,716.44
net198,714.16
net7,714
net240,713.3
net492,711.945
net651,711.56
net424,709.72
net841,709.12
net417,708.32
net731,707.72
net685,707.71
net306,706.63
net672,706.54
net501,706.26
net1007,704.06
net543,703.56
net471,703.34
net894,702.725
net548,702.36
net937,701.82
net787,699.76
net957,699.68
net565,699.42
net164,698.71
net654,698.14
net398,697.66
net426,694.47
net635,694.35
net205,692.62
net157,691.14
net1025,690.58
net799,689.895
net295,689.18
net260,688.84
net628,688.74
net804,688.26
net627,688.06
net741,687.96
net159,687.36
net308,687.08
net552,686.9
net454,685.28
net771,685.1
net176,684.18
net500,683.32
net562,682.9
net129,682.58
net915,682.485
net493,681.78
net684,681.74
net794,678.88
net143,676.7
net838,675.22
net224,674.06
net305,673.19
net136,672.68
net877,672.29
net587,672.06
net391,671.76
net692,671.59
net570,671.28
net284,670.7
net649,669.56
net18,668.88
net464,667.82
net209,667.17
net152,666.92
net265,665.46
net168,664.06
net930,663.98
net457,662.72
net197,662.26
net815,661.88
net887,661.5
net1035,661.44
net599,660.18
net19,658.16
net588,657.8
net253,655.04
net422,654.5
net433,654.14
net230,654.04
net611,652.86
net400,651.25
net751,647.98
net98,646.42
net86,645.06
net701,645.06
net429,644.54
net370,642.64
net600,642.04
net826,640.88
net228,639.44
net857,638.08
net187,637.94
net679,636.76
net407,636.22
net246,635
net773,634.8
net852,634.16
net586,632.52
net446,632.12
net10,631.66
net735,629.88
net950,628.94
net114,627.8
net298,626.76
net982,626.46
net973,625.86
net432,622.6
net508,617.6
net691,614.945
net266,613.58
net256,612.56
net61,612.1
net662,609.95
net585,609.85
net206,608.84
net97,605.16
net352,604.92
net356,603.3
net345,600.5
net948,599.52
net346,596.6
net137,594.24
net365,591.815
net408,590.53
net496,588.5
net442,583.88
net147,582.01
net778,580.22
net450,579.98
net1037,579.94
net258,579.835
net989,579.29
net1027,577.14
net226,569.2
net993,568.96
net483,568.88
net964,564.36
net130,563.96
net1018,557.88
net80,556.16
net45,555.74
net900,547.7
net243,543.32
net903,542.73
net1032,535.42
net1033,408.54
_2215_,223.86
_0628_,154.12
_2160_,154.02
_0450_,153.86
_0951_,149.68
_1277_,149
_1859_,144.46
_1274_,131.16
_0566_,127.42
_0954_,125.54
net1038,123.34
_0446_,120.26
_2211_,119.4
_0666_,118.02
_0623_,116.48
_1843_,113.3
_2194_,110.46
_0269_,110.43
_0650_,108.6
_1917_,108.52
_2011_,108.26
_0893_,105.44
_0614_,105.04
_0949_,103.72
net1076,103.64
_0271_,102.84
_1500_,101.56
_1446_,100.46
_2114_,100.18
_0645_,99.42
_0733_,99.38
_0700_,97.375
_0272_,96.5
_1487_,95.3
_2158_,94.66
_0322_,92.92
_0651_,92.16
_0583_,90.92
_0610_,90.02
_0350_,89.98
_1780_,89.74
_0371_,88.92
_2193_,88.48
_2202_,86.6
_0578_,85.5
_1481_,85.27
_0247_,85.26
_1907_,84.46
_0577_,84.44
_0274_,84.26
_2206_,83.72
_0372_,83.24
_0607_,82.72
_1919_,82.42
_0574_,80.28
_1362_,79.06
_0228_,78.16
_1989_,77.02
_0268_,76.42
_0351_,75.42
_0194_,74.9
_2203_,74.86
_0600_,74.6
_0250_,74.38
_1553_,74.32
_0936_,74.31
_0709_,74.075
_0356_,74.02
_0655_,74.02
